lv2 1.18.10-1
lvm2 2.03.23-3
lz4 1:1.9.4-2
lzo 2.10-5
m4 1.4.19-3
mage 1.15.0-1
mailcap 2.1.54-1
make 4.4.1-2
man-db 2.12.0-1
man-pages 6.06-2
mbedtls 3.5.1-1
md4c 0.5.2-1
mdadm 4.3-2
media-player-info 24-2
memtest86+ 7.00-1
mercurial 6.6.3-1
mesa-demos 9.0.0-3
mesa-tkg-git 24.1.0_devel.185793.edf14f4b7c2a-1
mesa-utils 9.0.0-3
meson-git 1.1.0.r93.a8b144b71-1
mhwd-amdgpu 19.1.0-1
mhwd-ati 19.1.0-1
mhwd-db-garuda 2:1.1.6-1
mhwd-garuda 1.1.4-2
mhwd-nvidia 525.60.11-1
mhwd-nvidia-390xx 390.143-1
mhwd-nvidia-470xx 470.94-1
milou 5.27.10-1
minecraft-launcher 1:1.0.1221-1.4
minizip 1:1.3.1-1
mjpegtools 2.2.1-2
mkinitcpio 38-4
mkinitcpio-busybox 1.36.1-1
mkinitcpio-nfs-utils 0.3-8
mkinitcpio-openswap 0.1.0-3.1
mkinitcpio-systemd-tool 38-2
mobile-broadband-provider-info 20230416-1
modemmanager 1.22.0-1
modemmanager-qt5 5.115.0-1
mongosh-bin 2.1.4-1
mongosh-bin-debug 2.1.4-1
mono 6.12.0.205-1
mpfr 4.2.1-2
mpg123 1.32.5-1
msgpack-c 5.0.0-2
mtdev 1.1.6-2
mtools 1:4.0.43-1
mtpfs 1.1-4
mypaint-brushes1 1.3.1-1
mythes-en 20221102-2
ncurses 6.4_20230520-1
ndctl 78-1
neofetch 7.1.0-2
neon 0.33.0-1
neovim 0.9.5-2
net-tools 2.10-2
nethogs 0.8.7-1
netpbm 10.86.40-1
netstandard-targeting-pack 8.0.2.sdk102-1
nettle 3.9.1-1
networkmanager 1.46.0-2
networkmanager-openvpn 1.10.2-3
networkmanager-qt5 5.115.0-1
nfs-utils 2.6.4-1
nfsidmap 2.6.4-1
nftables 1:1.0.9-1
nilfs-utils 2.2.9-2
ninja 1.11.1-3
nmap 7.94-2
node-gyp 10.0.1-1
nodejs 21.6.2-1
nodejs-nopt 7.2.0-1
noisetorch 0.12.2-2.2
noto-color-emoji-fontconfig 1.0.0-1
noto-fonts 1:24.3.1-1
noto-fonts-emoji 1:2.042-1
npm 10.5.0-1
npth 1.7-1
nspr 4.35-2
nss 3.98-1
nss-mdns 0.15.1-1
ntfsprogs-ntfs3 2022.10.3-6
numactl 2.0.18-1
nvidia-dkms 550.54.14-4
nvidia-settings 550.54.14-1
nvidia-utils 550.54.14-4
nvtop 3.1.0-1
obs-studio 30.0.2-4
ocl-icd 2.3.2-1
octopi 0.15.0-1
oculus-udev 1-2
oh-my-posh 19.11.3-1
oh-my-posh-debug 19.11.3-1
okular 23.08.5-1
oniguruma 6.9.9-1
openal 1.23.1-1
opencl-headers 2:2023.04.17-2
opencl-nvidia 550.54.14-4
opencore-amr 0.1.6-1
openexr 3.2.2-1
openhmd-git .510.dfac020-1
openjpeg2 2.5.2-1
openmpi 5.0.2-6
openpmix 4.2.9-1
openssh 9.6p1-3
openssl 3.2.1-1
openssl-1.1 1.1.1.w-1
opentabletdriver 0.6.4.0-3
openucx 1.15.0-2
openvpn 2.6.9-1
openvr 2.2.3-1
opus 1.5.1-1
opusfile 0.12-3
orc 0.4.38-1
os-prober-btrfs 1.79-5.1
ostree 2024.4-1
osu-lazer 2024.219.0-1
osu-lazer-debug 2024.219.0-1
otf-aurulent-nerd 3.1.1-1
otf-codenewroman-nerd 3.1.1-1
otf-comicshanns-nerd 3.1.1-1
otf-commit-mono-nerd 3.1.1-1
